"1";"2";"3";"4";"5";"6";"7";"8"
"219";"c/ Convento";"c/ Convento cruce c/ Francisco Ferrer";"3820";"Cocentaina";"c/ Convento cruce c/ Francisco Ferrer";"38.737232";"-0.442479"
"219";"Av de Xátiva, 18";"Av de Xátiva, 18";"3820";"Cocentaina";;"38.747791";"-0.439665"
"219";"Plaza de la Noria";"Plaza de la Noria";"46130";"MASSAMAGRELL (VALENCIA)";;"39.567982";"-0.330547"
"219";"c/ Escoles";"Carrer de les Escoles";"46130";"MASSAMAGRELL (VALENCIA)";;"39.578922";"-0.328023"
"219";"Plaza de Rodrigo Botet, 7";"Plaza de Rodrigo Botet, 7";"46002";"Valencia";;"39.471455";"-0.375202"
"219";"Ctra. Llaurador Valenciá";"Carretera Llaurador Valenciá (cruce Ausias March)";"46130";"MASSAMAGRELL (VALENCIA)";;"39.568459";"-0.334878"
"219";"Plaza del Doctor Landete, 9";"Plaza del Doctor Landete, 9";"46006";"Valencia";;"39.463276";"-0.371892"
"219";"c/ San Miguel";"c/ San Miguel";"46181";"BENISANO (VALENCIA)";;"39.612896";"-0.574243"
"219";"Urbanización Cumbres de San Antonio de Benageber";"c/ Llimeres (junto caseta de información)";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.569241";"-0.487844"
"219";"Carrer de Sant Miquel de Soternes";"Carrer de Sant Miquel de Soternes (esquina calle Archena)";"46014";"VALENCIA";;"39.470783";"-0.410138"
"219";"c/ Miguel Servet";"c/ Miguel Servet, 28";"46015";"VALENCIA";;"39.488537";"-0.394165"
"219";"c/ Benisoda";"c/ Benisoda, 19";"46022";"VALENCIA";;"39.472252";"-0.334576"
"219";"Av de Blasco Ibañez";"Av de Blasco Ibañez, 155 (Parroquia Espíritu Santo)";"46022";"VALENCIA";;"39.471699";"-0.339029"
"219";"Av de Valladolid";"Av de Valladolid, 4";"46020";"VALENCIA";;"39.489414";"-0.361872"
"219";"Plaza Virgen de Lepanto";"Plaza Virgen de Lepanto (junto a la Parroquia de Nuestra Señora de Lepanto), Castellar";"46026";"VALENCIA";;"39.429340";"-0.363475"
"219";"Calle del Doctor Moliner, 10";"Calle del Doctor Moliner, 10";"46010";"Valencia";;"39.476471";"-0.362709"
"219";"L'Oceanogràfic";"Camino de Las Moreras";"46023";"Valencia";;"39.452789";"-0.348120"
"219";"c/ Mariana Pineda";"c/ Mariana Pineda";"46130";"MASSAMAGRELL (VALENCIA)";;"39.578995";"-0.325589"
"219";"c/ Francisco Tárrega";"c/ Francisco Tárrega  (cruce Av Serra)";"46130";"MASSAMAGRELL (VALENCIA)";;"39.579338";"-0.346110"
"219";"c/ Burgos";"c/ Burgos (esquina Plaza Roma)";"46018";"VALENCIA";;"39.471310";"-0.399026"
"219";"Camino Alquería de Albors";"Camino Alquería de Albors";"46019";"VALENCIA";;"39.496735";"-0.368565"
"219";"Av Magdalena";"Av Magdalena";"46130";"MASSAMAGRELL (VALENCIA)";;"39.571507";"-0.336649"
"219";"Av de Tamarindos, 23";"Av de Tamarindos, 23";"46015";"Valencia";;"39.478287";"-0.402404"
"219";"c/ Los Leones";"c/ Los Leones, 9 y 11";"46022";"VALENCIA";;"39.465454";"-0.348649"
"219";"c/ Floresta";"c/ Floresta, 25";"46022";"VALENCIA";;"39.466927";"-0.348905"
"219";"Calle del Doctor Vicente Zaragozá, 6";"Calle del Doctor Vicente Zaragozá, 6";"46020";"Valencia";;"39.485146";"-0.363672"
"219";"Calle de San Pancracio, 3";"Calle de San Pancracio, 3";"46009";"Valencia";;"39.487480";"-0.387967"
"219";"c/ Abadía";"c/Abadía (Mercado Municipal)";"46110";"GODELLA";;"39.518669";"-0.411257"
"219";"c/ Ausias March";"c/ Ausias March (cruce con Peris Aragó)";"46120";"ALBORAYA";;"39.496029";"-0.350867"
"219";"Calle Gafarda, 7";"Calle Gafarda, 7";"46184";"San Antonio de Benagéber";;"39.558529";"-0.501008"
"219";"Carrer 8 de Abril, 41";"Carrer 8 de Abril, 41";"46184";"San Antonio de Benagéber";;"39.556004";"-0.498764"
"219";"Carrer Terrerola, 8";"Carrer Terrerola, 8";"46184";"San Antonio de Benagéber";;"39.549767";"-0.495085"
"219";"Carrer de Xúquer, 16";"Carrer de Xúquer, 16";"46184";"San Antonio de Benagéber";;"39.579357";"-0.511138"
