"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
219;"Proyecto Rehoboth";"C/ Lepanto, 5";"Valencia";692981861;"rehoboth@hotmail.es";"http://arehoboth.ning.com/";"Fines de semana y festivos";"Proyecto de baja exigencia y amplia acogida. Quiere ser un lugar para las personas sin hogar, donde tengan la oportunidad de mejorar su calidad de vida a través de la escucha, la aceptación y valoración de su persona tal y como son y de una serie de servicios.";;"39.473763";"-0.384399"
219;"Asociación Amaltea";"C/ Pie de la Cruz, 15-Bajo";"Valencia";963924316;"amaltea001@gmail.com";"http://asociacionamaltea.wordpress.com/";;"Amaltea es una Asociación sin ánimo de lucro que tiene la finalidad de realizar una labor preventiva dirigida a menores y jóvenes en situación carencial para facilitar su integración social. Amaltea desarrolla servicios de apoyo socioeducativo y familiar, ocio y tiempo libre, de carácter ocupacional y rehabilitador, de apoyo escolar y orientación sociolaboral y profesional.";;"39.473488";"-0.381102"
219;"Asociación Valenciana de Caridad";"Paseo Pechina 9";"Valencia";963916888;;;;"Albergue para Personas sin Hogar.";"Derivación desde CAST.";"39.478836";"-0.386689"
219;"Club Infantil y Juvenil Arca de Noe";"C/ Manuel Andrés, 9";"Valencia";963673255;;"www.elarcanazaret.org";;;;"39.447708";"-0.333649"
219;"Asociación Àmbit";"Calle Alta del Mar, 80, bajo";"Valencia";963679580;"ambitg@gmail.com";"http://ambitassociacio.org";"9:00 a 14:00 y de 16:00 a 20:00 ";"Àmbit se creó en 1993, y hoy cuenta con un Albergue para personas con alto riesgo de exclusión social, con una Vivienda Tutelada para enfermos mentales y lleva a cabo diferentes programas que van desde talleres en el Centro Penitenciario de Valencia para personas con enfermedad mental o con VIH/SIDA a programas en colaboración con el Centro de Salud Mental de Malvarrosa y también programas de prevención en los colegios.";"Cuenta con dos recursos residenciales. Albergue ESPAI y vivienda tutelada EOLUS";"39.449303";"-0.334035"
219;"ALANNA";"PLAZA FRAY LUIS COLOMER 3 BJ ";"VALENCIA";963393877;"alanna@alanna.org.es";"www.alanna.org.es";"Lunes a viernes de 9 a 14 horas ";"Programas y servicios de acción social dirgidos a mujeres en situación de exclusión social (víctima sde violencia de género, chabolistas, minorias étnicas, migrantes) así como a sus familias: apoyo psicosocial, orientación laboral, talleres, acompañamiento social, asesoria,....";;"39.478672";"-0.352957"
219;"PLAN MUNICIPAL DE DROGODEPENDENCIAS (UPC)";"AMADEO DE SABOYA, 11";"46010 VALENCIA";963525478;;"www.valencia.es/pmd";"L a V: 9:00 a 14.00 h";"Servicio de información y orientación de drogodependencias";;"39.473934";"-0.362683"
219;"INSTITUTO VALENCIANO DE LUDOPATIA Y ADICCIONES NO TOXICAS";"RIBERA, 8, PISO 3, PUERTA 7";"46002 VALENCIA";963941587;;;"L a V: 10.00 a 14.00 h, 16.00 a 20.00 h";"Servicio de información y orientación a ludopatías y adicciones no tóxicas y otro tipo de adicciones (a internet, a las compras, al sexo...)";;"39.468624";"-0.375953"
219;"MEDICOS DEL MUNDO";"DR. MONTSERRAT, 1, esquina con LEPANTO, 21";"46008 VALENCIA";963919723;;;"L a V: 16.30 a 21.00 h, L, Ma y Mi: 9.30 a 14.00 h";"Centro de Baja Exigencia:personas sin techo, con problemas de salud mental y adicciones";;"39.473934";"-0.385447"
219;"FUNDACION APROVAT (ASOC. PROVINCIAL VALENCIANA DE AYUDA)";"CIRILO AMOROS, 14 PTAS. 4 -5";"46004 VALENCIA";963522964;;;"L a V: 9.00 a 14,00 h";"Centro de día: atención de adicciones de todo tipo ";"Derivados desde UCA y también atenciones privadas. Previa cita por teléfono.";"39.466515";"-0.373235"
