"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65"
"NTRA.SRA.DEL PILAR Y SAN LORENZO";"101002";"NTRA.SRA.DEL PILAR Y SAN LORENZO";"1";"VALENCIA";"1";"GUILLEM DE CASTRO,42";"21";;"963920012";"PARROQUIAELPILAR@TELEFONICA.NET";;"9";"10";"19";"1";"2";;"MARTES, MIERCOLES Y JUEVES DE 17 A 19H.";"4";"20";"11";"13";"11";"67";"18";"3";"1";;"1";;"1";"1500";;"600";"833";"1000";;;;;;;;"3933";;;;;"440";;;;"1800";"833";"1000";;;;;"4073";;"1";"219";"2013"
"NTRA.SRA.DEL PUIG";"101003";"NTRA.SRA.DEL PUIG";"1";"VALENCIA";"1";"PL.VICENTE IBORRA,1";"21";"46003";"963911736";"MANOLOANGLES@GMAIL.CPM";;"1";"12";"13";;;"3";"LUNES DE 10 A 13H";"29";"64";"19";"74";"40";"283";"97";"19";;"1";;"1";;;"2726";"1180";"1000";;"1785";;;;;;"5000";"11691";"1974";;;"820";;"578";;;;"1000";;;"3850";;"1800";"10022";;"1";"219";"2013"
"SAN ESTEBAN PROTOMARTIR";"101004";"SAN ESTEBAN PROTOMARTIR";"1";"VALENCIA";"1";"PL.SAN ESTEBAN,1";"21";"46003";"963918276";;;;"2";;;"1";;"TODOS LOS DIAS";"3";"2";"3";"2";"4";"13";"9";;"1";"1";;;"1";;;"4915";"1000";"670";;;;;;;;"6585";"1140";"300";"1100";;;"300";;;"2500";;;;;;;"5340";;"1";"219";"2013"
"SAN JOSE DE CALASANZ";"101005";"SAN JOSE DE CALASANZ";"1";"VALENCIA";"1";"CARNICEROS,6";"21";"46001";"963915800";"PEPEMASIS@GMAIL.COM";;"3";"5";"8";;;;"JUEVES DE 18,30 A 20H";"63";"48";"66";"45";"38";"320";;"2";;;;;;;"3150";"1720";;;"2500";;;;;;;"7370";"2414";"701";"720";"315";"320";"203";;;"97";;;;;"2950";"360";"8080";;"1";"219";"2013"
"SAN MARTIN OBISPO Y SAN ANTONI ABAD";"101006";"SAN MARTIN OBISPO Y SAN ANTONI ABAD";"1";"VALENCIA";"1";"SAN MARTIN,2";"21";"46003";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN MIGUEL Y SAN SEBASTIAN";"101007";"SAN MIGUEL Y SAN SEBASTIAN";"1";"VALENCIA";"1";"QUART,97";"21";"46008";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SANTA CATALINA Y SAN AGUSTIN";"101008";"SANTA CATALINA Y SAN AGUSTIN";"1";"VALENCIA";"1";"NUESTRA SEÑORA DE GRACIA-7";"21";"46001";"963526870";;;"2";"6";"8";;;;"2º MARTES DE CADA MES DE 17,30 A 19H";"5";"10";"9";"6";"3";"15";"1";"1";;;;;;;;"1100";"150";;;;;;;;"500";"1750";"650";"379";;;"289";"25";;;;"150";;;;;;"1493";;"1";"219";"2013"
"SAN PEDRO MARTIR Y SAN NICOLAS";"101009";"SAN PEDRO MARTIR Y SAN NICOLAS";"1";"VALENCIA";"1";"CABALLEROS,35B";"21";"46001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SANTISIMA CRUZ";"101010";"SANTISIMA CRUZ";"1";"VALENCIA";"1";"Pza del Carmen, 7";"21";"46019";"963910437";;;"5";"8";"13";;"1";"3";;"9";"43";"15";"36";"7";"115";"37";;;;;"1";"1";"2072";"1344";"3239";"442";;"2350";"901";;;;;"113";"10461";"3482";"370";"1402";"603";"194";"1310";;"43";"275";"442";;;;;;"8121";;"1";"219";"2013"
"SANTO TOMAS APOSTOL Y SAN FELIPE NERI";"101011";"SANTO TOMAS APOSTOL Y SAN FELIPE NERI";"1";"VALENCIA";"1";"COnDE DE MONTORNES,4";"21";"46003";"963918755";"RAMON@TOMASAPOSTOL.ES";;"17";"19";"36";;;"8";"MARTES DE 19 A 20H";"30";"43";"40";"33";"12";"142";"35";;;;;;"1";"2400";;;;;;"213";;;;;"2007";"4620";"1920";"80";"720";"87";"400";"213";"500";;"370";;;;;;"330";"4620";;"1";"219";"2013"
