"1";"2";"3";"4";"5"
"219";"1";"39.478020";"-0.375805";"-0.375805,39.478020 -0.375805,39.478020"
"219";"679";"39.489754";"-0.403290";"-0.410842,39.495773 -0.405261,39.487649 -0.404397,39.487126 -0.403524,39.487612 -0.403016,39.488054 -0.400635,39.488045 -0.397443,39.487544 -0.398127,39.488524 -0.402487,39.494614 -0.404800,39.497805 -0.410842,39.495773"
"219";"680";"39.455425";"-0.343495";"-0.349925,39.454684 -0.344998,39.452875 -0.341738,39.453520 -0.341550,39.455467 -0.340927,39.457874 -0.348358,39.459496 -0.348394,39.458809 -0.348284,39.458101 -0.347384,39.456368 -0.349925,39.454684"
"219";"101002";"39.471455";"-0.383845";"-0.383998,39.472758 -0.383886,39.473803 -0.384257,39.473838 -0.384862,39.473179 -0.385205,39.472780 -0.385726,39.472103 -0.386118,39.471886 -0.384426,39.469497 -0.383129,39.467729 -0.381803,39.469172 -0.381423,39.469995 -0.380924,39.470134 -0.380428,39.470007 -0.379694,39.471234 -0.379799,39.473039 -0.380582,39.472989 -0.380855,39.473104 -0.381117,39.472962 -0.383998,39.472758"
"219";"101003";"39.476837";"-0.381445";"-0.380239,39.476811 -0.380346,39.477683 -0.380512,39.477865 -0.380810,39.477544 -0.381388,39.477608 -0.382474,39.477901 -0.383199,39.477994 -0.383475,39.476776 -0.383840,39.476819 -0.384009,39.475749 -0.382554,39.475962 -0.381864,39.476130 -0.380414,39.476307 -0.380239,39.476811"
"219";"101004";"39.475788";"-0.373235";"-0.373844,39.475418 -0.373101,39.475217 -0.372768,39.475184 -0.372687,39.475584 -0.372194,39.475472 -0.371564,39.475069 -0.371059,39.475733 -0.370892,39.476201 -0.370052,39.477374 -0.370685,39.477788 -0.372619,39.479063 -0.375450,39.480458 -0.376274,39.478777 -0.376874,39.477421 -0.376894,39.477267 -0.376899,39.476844 -0.376808,39.476834 -0.376848,39.476601 -0.376732,39.476572 -0.376623,39.475893 -0.376589,39.475679 -0.376310,39.475510 -0.376480,39.475240 -0.376209,39.475083 -0.375697,39.474852 -0.375191,39.474771 -0.374164,39.474800 -0.373844,39.475418"
"219";"101005";"39.473751";"-0.382264";"-0.383885,39.473803 -0.383998,39.472758 -0.381119,39.472962 -0.381264,39.473323 -0.381154,39.473430 -0.381332,39.473594 -0.381204,39.473779 -0.381223,39.474135 -0.381288,39.474417 -0.381297,39.474542 -0.381236,39.474692 -0.380983,39.475097 -0.382630,39.475338 -0.382555,39.475962 -0.384010,39.475748 -0.383885,39.473803"
"219";"101006";"39.473446";"-0.375815";"-0.374184,39.470705 -0.374235,39.471148 -0.373745,39.471172 -0.373283,39.471233 -0.372798,39.471581 -0.373611,39.471815 -0.373541,39.472352 -0.373216,39.473331 -0.374247,39.473542 -0.374257,39.473940 -0.374533,39.474008 -0.374456,39.474280 -0.374164,39.474801 -0.375181,39.474770 -0.375696,39.474851 -0.376208,39.475084 -0.376474,39.475237 -0.376702,39.475351 -0.377699,39.475374 -0.377599,39.474762 -0.377308,39.474594 -0.376891,39.474242 -0.377276,39.473854 -0.377839,39.473448 -0.377817,39.473332 -0.377961,39.472585 -0.378202,39.472012 -0.378504,39.471395 -0.378816,39.470923 -0.378015,39.470610 -0.376701,39.470156 -0.375976,39.470351 -0.373967,39.470389 -0.374184,39.470705"
"219";"101007";"39.475239";"-0.386917";"-0.383200,39.477994 -0.382474,39.477901 -0.381387,39.477608 -0.380811,39.477544 -0.380512,39.477865 -0.380725,39.478043 -0.380701,39.478393 -0.380514,39.479006 -0.380293,39.479690 -0.383043,39.480274 -0.383451,39.481083 -0.390627,39.478141 -0.388930,39.475742 -0.389469,39.475549 -0.390703,39.475291 -0.390332,39.474688 -0.391976,39.474439 -0.390360,39.472198 -0.387229,39.473413 -0.386118,39.471887 -0.385727,39.472104 -0.385202,39.472784 -0.384862,39.473179 -0.384257,39.473839 -0.383885,39.473803 -0.384009,39.475749 -0.383840,39.476819 -0.383475,39.476776 -0.383200,39.477994"
"219";"101008";"39.468948";"-0.380383";"-0.382663,39.467106 -0.381933,39.467928 -0.380505,39.467308 -0.380869,39.466802 -0.378280,39.466124 -0.376861,39.466440 -0.376518,39.467424 -0.377142,39.467578 -0.376703,39.470156 -0.378016,39.470611 -0.378816,39.470922 -0.379555,39.471273 -0.379693,39.471234 -0.380428,39.470007 -0.380925,39.470133 -0.381423,39.469995 -0.381803,39.469172 -0.383129,39.467729 -0.382663,39.467106"
